Name,Country,Query_Name,Latitude,Longitude,
Angra dos Reis,Bresil,ANGRA_DOS_REIS,-23.0057347,-44.3157591,"Harbor.create(name: ""Angra dos Reis"", lat: -23.0057347, lng: -44.3157591, query: ""ANGRA_DOS_REIS"")"
Anma Do,Coree du Sud,ANMA_DO,,,
Antifer,France,ANTIFER,48.55143,2.188866,"Harbor.create(name: ""Antifer"", lat: 48.55143, lng: 2.188866, query: ""ANTIFER"")"
Antofagasta,Chili,ANTOFAGASTA,-23.6509279,-70.39750219999999,"Harbor.create(name: ""Antofagasta"", lat: -23.6509279, lng: -70.39750219999999, query: ""ANTOFAGASTA"")"
Antsiranana (Diego Suarez),Madagascar,ANTSIRANANA,-12.3231349,49.2942833,"Harbor.create(name: ""Antsiranana (Diego Suarez)"", lat: -12.3231349, lng: 49.2942833, query: ""ANTSIRANANA"")"
Anvers (Antwerpen),Belgique,ANTWERPEN,51.2194475,4.4024643,"Harbor.create(name: ""Anvers (Antwerpen)"", lat: 51.2194475, lng: 4.4024643, query: ""ANTWERPEN"")"
Apia,Samoa,APIA,-13.8506958,-171.7513551,"Harbor.create(name: ""Apia"", lat: -13.8506958, lng: -171.7513551, query: ""APIA"")"
Aracaju,Bresil,ARACAJU,-10.9472468,-37.0730823,"Harbor.create(name: ""Aracaju"", lat: -10.9472468, lng: -37.0730823, query: ""ARACAJU"")"
Aratu,Bresil,ARATU,-12.1576706,-44.9916264,"Harbor.create(name: ""Aratu"", lat: -12.1576706, lng: -44.9916264, query: ""ARATU"")"
Arcachon Eyrac,France,ARCACHON_EYRAC,44.652297,-1.1785016,"Harbor.create(name: ""Arcachon Eyrac"", lat: 44.652297, lng: -1.1785016, query: ""ARCACHON_EYRAC"")"
Areia Branca,Bresil,AREIA_BRANCA,-4.9508443,-37.12582829999999,"Harbor.create(name: ""Areia Branca"", lat: -4.9508443, lng: -37.12582829999999, query: ""AREIA_BRANCA"")"
Arendal,Norvege,ARENDAL,58.4617568,8.7724499,"Harbor.create(name: ""Arendal"", lat: 58.4617568, lng: 8.7724499, query: ""ARENDAL"")"
Argentia,Canada,ARGENTIA,47.302052,-53.986824,"Harbor.create(name: ""Argentia"", lat: 47.302052, lng: -53.986824, query: ""ARGENTIA"")"
Arica,Chili,ARICA,-18.4782534,-70.3125988,"Harbor.create(name: ""Arica"", lat: -18.4782534, lng: -70.3125988, query: ""ARICA"")"
sk,Federation de Russie,ARKHANGEL_SK-SOLOMBALA,55.4312453,37.5457647,"Harbor.create(name: ""sk"", lat: 55.4312453, lng: 37.5457647, query: ""ARKHANGEL_SK-SOLOMBALA"")"
Arradon,France,ARRADON,47.627666,-2.822817,"Harbor.create(name: ""Arradon"", lat: 47.627666, lng: -2.822817, query: ""ARRADON"")"
Arromanches-les-Bains,France,ARROMANCHES-LES-BAINS,49.339021,-0.622415,"Harbor.create(name: ""Arromanches-les-Bains"", lat: 49.339021, lng: -0.622415, query: ""ARROMANCHES-LES-BAINS"")"
Ascension Island,Royaume-Uni,ASCENSION,-7.946716599999999,-14.3559158,"Harbor.create(name: ""Ascension Island"", lat: -7.946716599999999, lng: -14.3559158, query: ""ASCENSION"")"
Aseb,Erythree,ASEB,13.0139405,42.7369299,"Harbor.create(name: ""Aseb"", lat: 13.0139405, lng: 42.7369299, query: ""ASEB"")"
Ash Shariqah,Emirats Arabes Unis,SHARJAH,25.0753974,55.7578403,"Harbor.create(name: ""Ash Shariqah"", lat: 25.0753974, lng: 55.7578403, query: ""SHARJAH"")"
Astoria,Etats-Unis,ASTORIA,46.1878841,-123.8312534,"Harbor.create(name: ""Astoria"", lat: 46.1878841, lng: -123.8312534, query: ""ASTORIA"")"
Atkinson Point,Canada,ATKINSON_POINT,69.9380149,-131.427482,"Harbor.create(name: ""Atkinson Point"", lat: 69.9380149, lng: -131.427482, query: ""ATKINSON_POINT"")"
Attu Island,Etats-Unis (Aleoutiennes),MASSACRE_BAY,52.87631,172.8904825,"Harbor.create(name: ""Attu Island"", lat: 52.87631, lng: 172.8904825, query: ""MASSACRE_BAY"")"
Auckland,Nouvelle-Zelande,AUCKLAND,-36.8484597,174.7633315,"Harbor.create(name: ""Auckland"", lat: -36.8484597, lng: 174.7633315, query: ""AUCKLAND"")"
Audierne,France,AUDIERNE,48.021938,-4.538539999999999,"Harbor.create(name: ""Audierne"", lat: 48.021938, lng: -4.538539999999999, query: ""AUDIERNE"")"
